Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,682.500000,698.549988,678.000000,682.900024,666.568420,7370186
2020-05-12,678.500000,691.000000,675.500000,687.650024,671.204834,7356039
2020-05-13,694.799988,699.900024,683.750000,694.150024,677.549316,8287101
2020-05-14,659.000000,671.750000,652.599976,658.150024,642.410278,16888262
2020-05-15,664.799988,664.799988,646.700012,652.299988,636.700195,9255353
2020-05-18,659.849976,670.549988,653.000000,663.900024,648.022766,10435442
2020-05-19,664.000000,674.799988,655.000000,668.599976,652.610291,5902208
2020-05-20,668.500000,673.000000,659.650024,669.549988,653.537598,5794636
2020-05-21,666.500000,679.450012,665.400024,672.200012,656.124268,7213225
2020-05-22,675.000000,695.849976,673.500000,692.349976,675.792297,11867731
2020-05-26,693.000000,699.450012,679.000000,680.549988,664.274536,7099606
2020-05-27,686.049988,709.200012,675.000000,705.450012,688.579102,8774636
2020-05-28,707.000000,710.000000,690.000000,707.400024,690.482483,9440091
2020-05-29,692.500000,700.799988,674.950012,691.000000,683.655762,28290128
2020-06-01,698.750000,706.650024,691.500000,699.549988,692.114868,12276438
2020-06-02,700.500000,711.650024,697.549988,708.099976,700.573975,7059304
2020-06-03,710.700012,711.900024,696.000000,701.549988,694.093628,11378568
2020-06-04,702.000000,709.450012,697.500000,707.750000,700.227722,10782424
2020-06-05,707.000000,711.700012,700.599976,703.549988,696.072388,7718679
2020-06-08,707.650024,725.799988,704.000000,720.849976,713.188477,10719105
2020-06-09,720.000000,729.599976,715.049988,717.599976,709.973022,10078029
2020-06-10,715.000000,719.450012,709.200012,715.849976,708.241638,7263049
2020-06-11,712.000000,713.400024,700.250000,703.950012,696.468140,8825715
2020-06-12,675.799988,695.150024,675.500000,692.049988,684.694580,9795316
2020-06-15,693.000000,704.400024,685.250000,687.549988,680.242432,7857344
2020-06-16,702.000000,712.000000,699.150024,701.200012,693.747375,10131760
2020-06-17,699.900024,710.299988,698.000000,703.650024,696.171326,7291916
2020-06-18,708.200012,716.599976,706.000000,713.900024,706.312378,6670195
2020-06-19,709.000000,711.900024,701.000000,705.549988,698.051147,22438862
2020-06-22,707.099976,708.700012,700.000000,703.700012,696.220825,7804096
2020-06-23,695.700012,724.500000,692.099976,720.650024,712.990662,12157390
2020-06-24,716.900024,726.799988,709.400024,714.150024,706.559753,10220838
2020-06-25,704.849976,705.599976,693.500000,700.500000,693.054810,14945284
2020-06-26,710.200012,751.599976,710.000000,748.200012,740.247864,26030458
